iter	Passed	Remaining
1068	9110	16456
1069	9119	16449
1070	9132	16449
1071	9137	16434
1072	9147	16428
1073	9156	16421
1074	9165	16413
1075	9175	16405
1076	9181	16393
1077	9190	16386
1078	9195	16371
1079	9206	16367
1080	9220	16367
1081	9226	16355
1082	9229	16336
1083	9242	16337
1084	9251	16327
1085	9257	16316
1086	9263	16303
1087	9270	16291
1088	9277	16280
1089	9285	16270
1090	9290	16256
1091	9301	16251
1092	9306	16237
1093	9316	16231
1094	9322	16218
1095	9329	16206
1096	9343	16207
1097	9350	16198
1098	9354	16181
1099	9361	16169
1100	9373	16166
1101	9379	16153
1102	9388	16146
1103	9394	16134
1104	9403	16126
1105	9409	16112
1106	9417	16104
1107	9435	16112
1108	9444	16104
1109	9453	16097
1110	9458	16081
1111	9463	16067
1112	9476	16065
1113	9481	16053
1114	9486	16038
1115	9496	16031
1116	9507	16026
1117	9519	16024
1118	9547	16048
1119	9558	16044
1120	9570	16041
1121	9577	16030
1122	9586	16023
1123	9596	16017
1124	9608	16013
1125	9614	16000
1126	9623	15993
1127	9633	15987
1128	9639	15974
1129	9648	15966
1130	9652	15950
1131	9665	15949
1132	9672	15938
1133	9683	15934
1134	9696	15933
1135	9706	15927
1136	9713	15916
1137	9720	15904
1138	9727	15893
1139	9735	15883
1140	9738	15867
1141	9745	15855
1142	9753	15846
1143	9762	15837
1144	9768	15825
1145	9777	15817
1146	9787	15811
1147	9793	15799
1148	9806	15797
1149	9812	15785
1150	9823	15780
1151	9830	15769
1152	9843	15768
1153	9849	15755
1154	9856	15745
1155	9872	15748
1156	9878	15736
1157	9887	15727
1158	9895	15718
1159	9904	15710
1160	9911	15699
1161	9915	15684
1162	9922	15672
1163	9928	15659
1164	9935	15649
1165	9943	15640
1166	9953	15633
1167	9963	15627
1168	9972	15619
1169	9983	15615
1170	9989	15602
1171	9995	15590
1172	10001	15578
1173	10009	15568
1174	10019	15561
1175	10027	15552
1176	10037	15547
1177	10048	15541
1178	10055	15531
1179	10063	15522
1180	10074	15517
1181	10080	15504
1182	10090	15497
1183	10098	15488
1184	10101	15471
1185	10112	15467
1186	10118	15455
1187	10126	15444
1188	10132	15433
1189	10143	15428
1190	10151	15419
1191	10161	15412
1192	10172	15407
1193	10180	15398
1194	10191	15393
1195	10198	15383
1196	10206	15374
1197	10220	15373
1198	10225	15360
1199	10231	15347
1200	10243	15344
1201	10249	15331
1202	10263	15331
1203	10277	15330
1204	10286	15323
1205	10297	15317
1206	10306	15310
1207	10318	15307
1208	10324	15294
1209	10334	15287
1210	10340	15275
1211	10346	15264
1212	10361	15264
1213	10367	15252
1214	10375	15243
1215	10383	15233
1216	10391	15223
1217	10398	15213
1218	10408	15207
1219	10421	15204
1220	10428	15193
1221	10439	15189
1222	10444	15175
1223	10448	15160
1224	10457	15152
1225	10462	15138
1226	10472	15132
1227	10482	15126
1228	10487	15112
1229	10495	15102
1230	10503	15094
1231	10515	15089
1232	10523	15081
1233	10533	15074
1234	10542	15067
1235	10551	15059
1236	10556	15044
1237	10561	15031
1238	10571	15025
1239	10582	15020
1240	10594	15016
1241	10601	15005
1242	10614	15003
1243	10620	14991
1244	10628	14982
1245	10640	14978
1246	10648	14969
1247	10660	14965
1248	10667	14955
1249	10676	14947
1250	10686	14941
1251	10697	14934
1252	10707	14928
1253	10716	14921
1254	10727	14915
1255	10738	14910
1256	10749	14906
1257	10757	14896
1258	10764	14885
1259	10772	14876
1260	10782	14869
1261	10792	14863
1262	10800	14854
1263	10814	14852
1264	10821	14841
1265	10831	14835
1266	10841	14828
1267	10855	14828
1268	10870	14828
1269	10878	14819
1270	10891	14815
1271	10899	14806
1272	10904	14793
1273	10912	14783
1274	10947	14811
1275	10956	14802
1276	10971	14803
1277	10979	14794
1278	10995	14795
1279	11003	14785
1280	11023	14792
1281	11030	14782
1282	11044	14779
1283	11055	14774
1284	11068	14772
1285	11076	14763
1286	11092	14764
1287	11099	14753
1288	11112	14750
1289	11123	14744
1290	11128	14731
1291	11134	14719
1292	11144	14713
1293	11154	14705
1294	11161	14695
1295	11169	14685
1296	11176	14674
1297	11185	14666
1298	11197	14663
1299	11213	14664
1300	11223	14656
1301	11231	14647
1302	11236	14634
1303	11245	14625
1304	11256	14620
1305	11264	14610
1306	11276	14606
1307	11284	14597
1308	11294	14590
1309	11311	14592
1310	11321	14585
1311	11330	14578
1312	11339	14569
1313	11344	14556
1314	11354	14549
1315	11364	14542
1316	11369	14529
1317	11377	14519
1318	11393	14520
1319	11408	14520
1320	11415	14509
1321	11426	14503
1322	11432	14491
1323	11446	14489
1324	11456	14482
1325	11463	14472
1326	11479	14472
1327	11486	14462
1328	11496	14454
1329	11505	14447
1330	11510	14433
1331	11523	14430
1332	11534	14424
1333	11545	14419
1334	11557	14414
1335	11571	14412
1336	11584	14409
1337	11596	14404
1338	11606	14398
1339	11614	14388
1340	11619	14374
1341	11636	14375
1342	11646	14369
1343	11657	14363
1344	11662	14350
1345	11673	14345
1346	11685	14340
1347	11696	14333
1348	11700	14319
1349	11711	14314
1350	11720	14306
1351	11730	14298
1352	11736	14287
1353	11750	14284
1354	11757	14273
1355	11763	14262
1356	11775	14257
1357	11786	14250
1358	11793	14240
1359	11801	14231
1360	11810	14222
1361	11820	14215
1362	11827	14205
1363	11834	14194
1364	11843	14186
1365	11852	14177
1366	11859	14166
1367	11871	14161
1368	11876	14149
1369	11884	14140
1370	11889	14126
1371	11897	14117
1372	11909	14112
1373	11918	14104
1374	11926	14094
1375	11939	14091
1376	11945	14079
1377	11954	14071
1378	11964	14063
1379	11974	14056
1380	11982	14047
1381	11991	14039
1382	12005	14036
1383	12020	14035
1384	12030	14027
1385	12045	14027
1386	12053	14017
1387	12061	14007
1388	12075	14005
1389	12083	13995
1390	12089	13983
1391	12099	13976
1392	12107	13968
1393	12113	13956
1394	12121	13946
1395	12128	13935
1396	12132	13921
1397	12145	13917
1398	12155	13910
1399	12168	13907
1400	12176	13897
1401	12187	13891
1402	12195	13882
1403	12203	13872
1404	12211	13863
1405	12216	13850
1406	12237	13854
1407	12246	13847
1408	12255	13838
1409	12261	13827
1410	12273	13822
1411	12282	13813
1412	12296	13811
1413	12309	13806
1414	12316	13796
1415	12327	13790
1416	12340	13786
1417	12352	13780
1418	12368	13780
1419	12377	13771
1420	12383	13760
1421	12395	13755
1422	12406	13748
1423	12415	13740
1424	12421	13729
1425	12428	13718
1426	12435	13707
1427	12441	13696
1428	12447	13684
1429	12458	13678
1430	12467	13669
1431	12477	13663
1432	12487	13655
1433	12498	13649
1434	12510	13644
1435	12517	13633
1436	12528	13626
1437	12534	13615
1438	12542	13605
1439	12547	13592
1440	12552	13580
1441	12558	13568
1442	12564	13556
1443	12568	13543
1444	12574	13531
1445	12584	13524
1446	12597	13520
1447	12608	13514
1448	12621	13510
1449	12631	13502
1450	12644	13498
1451	12657	13494
1452	12663	13482
1453	12674	13476
1454	12687	13472
1455	12698	13465
1456	12707	13457
1457	12718	13451
1458	12730	13446
1459	12740	13438
1460	12748	13429
1461	12756	13419
1462	12762	13408
1463	12776	13404
1464	12784	13395
1465	12787	13381
1466	12796	13372
1467	12802	13360
1468	12814	13355
1469	12823	13346
1470	12831	13337
1471	12842	13331
1472	12856	13327
1473	12862	13316
1474	12872	13308
1475	12879	13298
1476	12888	13290
1477	12900	13284
1478	12909	13275
1479	12917	13266
1480	12928	13260
1481	12938	13252
1482	12947	13244
1483	12956	13235
1484	12963	13225
1485	12969	13214
1486	12979	13206
1487	12984	13194
1488	12998	13190
1489	13006	13180
1490	13014	13171
1491	13020	13160
1492	13028	13150
1493	13033	13138
1494	13044	13131
1495	13047	13117
1496	13054	13107
1497	13061	13096
1498	13078	13095
1499	13089	13089
1500	13097	13079
1501	13110	13075
1502	13121	13068
1503	13140	13070
1504	13151	13064
1505	13161	13056
1506	13172	13049
1507	13194	13054
1508	13200	13042
1509	13206	13031
1510	13224	13031
1511	13232	13022
1512	13240	13013
1513	13246	13001
1514	13258	12996
1515	13268	12988
1516	13278	12981
1517	13290	12975
1518	13298	12966
1519	13302	12952
1520	13308	12941
1521	13316	12931
1522	13321	12919
1523	13327	12908
1524	13335	12898
1525	13342	12887
1526	13348	12876
1527	13356	12867
1528	13362	12855
1529	13367	12842
1530	13372	12831
1531	13378	12819
1532	13383	12807
1533	13388	12795
1534	13397	12786
1535	13402	12774
1536	13413	12767
1537	13418	12755
1538	13422	12742
1539	13427	12729
1540	13437	12722
1541	13443	12710
1542	13453	12704
1543	13463	12696
1544	13470	12686
1545	13482	12680
1546	13492	12672
1547	13506	12668
1548	13518	12663
1549	13531	12658
1550	13540	12649
1551	13547	12639
1552	13555	12629
1553	13562	12620
1554	13569	12609
1555	13580	12602
1556	13586	12592
1557	13592	12580
1558	13599	12570
1559	13608	12561
1560	13617	12553
1561	13627	12545
1562	13632	12533
1563	13638	12522
1564	13655	12520
1565	13661	12510
1566	13667	12498
1567	13673	12487
1568	13676	12473
1569	13682	12462
1570	13687	12450
1571	13692	12438
1572	13697	12426
1573	13703	12414
1574	13710	12404
1575	13717	12394
1576	13721	12381
1577	13726	12369
1578	13729	12356
1579	13736	12345
1580	13745	12337
1581	13749	12323
1582	13754	12311
1583	13764	12304
1584	13770	12293
1585	13777	12283
1586	13786	12274
1587	13793	12265
1588	13799	12253
1589	13804	12241
1590	13808	12229
1591	13817	12220
1592	13820	12207
1593	13825	12194
1594	13832	12184
1595	13835	12171
1596	13839	12158
1597	13845	12147
1598	13852	12137
1599	13859	12126
1600	13863	12113
1601	13868	12102
1602	13874	12091
1603	13878	12079
1604	13884	12068
1605	13892	12059
1606	13904	12053
1607	13916	12047
1608	13921	12035
1609	13926	12023
1610	13935	12015
1611	13941	12003
1612	13953	11998
1613	13963	11990
1614	13976	11986
1615	13990	11981
1616	13999	11973
1617	14004	11961
1618	14008	11949
1619	14015	11939
1620	14024	11930
1621	14035	11924
1622	14040	11912
1623	14057	11910
1624	14063	11899
1625	14074	11893
1626	14088	11888
1627	14097	11880
1628	14110	11876
1629	14123	11870
1630	14129	11859
1631	14135	11848
1632	14140	11837
1633	14149	11828
1634	14154	11817
1635	14159	11804
1636	14165	11794
1637	14172	11784
1638	14180	11775
1639	14185	11763
1640	14191	11752
1641	14197	11741
1642	14201	11729
1643	14213	11723
1644	14220	11713
1645	14226	11702
1646	14230	11690
1647	14244	11685
1648	14249	11674
1649	14265	11671
1650	14276	11664
1651	14284	11655
1652	14293	11647
1653	14303	11640
1654	14312	11631
1655	14322	11624
1656	14331	11615
1657	14337	11604
1658	14345	11595
1659	14351	11585
1660	14361	11577
1661	14371	11570
1662	14385	11565
1663	14394	11557
1664	14404	11549
1665	14413	11540
1666	14425	11535
1667	14436	11528
1668	14446	11521
1669	14457	11514
1670	14463	11503
1671	14469	11492
1672	14477	11483
